出張名,開始日,終了日,目的地,ホテル,往路交通,復路交通,金額,予約リンク,メモ
糸島出張(F2試作),2026/07/06,2026/07/11,糸島,済,済,済,100000,https://www.skymark.co.jp/ja/mypage/,新幹線未予約
糸島出張(F2試作),2026/07/13,2026/07/17,糸島,未,未,未,,,
